unemployment 	interest 
6.7	6.28
6.7	6.75
6.2	7.19
5.2	7.54
5	7.29
4.8	6.91
5.2	7.16
5.7	7.28
5.7	7.13
5.1	7
4.5	7.06
4.1	7.14
3.9	7.17
4	7.15
4.1	7.04
4	7.05
3.7	7.04
3.9	6.99
4.4	6.89
5.1	6.43
5.5	5.73
5.1	5.68
4.1	5.84
3.7	5.85
3.6	5.65
3.6	5.32
3.6	4.92
3.3	4.66
3.3	4.36
3.4	4.53
3.7	4.84
4.1	4.79
4.1	4.54
3.8	4.64
3.4	4.79
3.1	4.81
2.9	4.85
3	4.91
3.2	4.8
2.7	4.81
2.8	4.91
2.9	4.91
3.1	4.9
3.7	4.7
3.8	4.54
3.7	4.76
3.5	4.62
3.4	4.39
3.4	4.28
3.6	4.15
3.5	3.9
3.3	3.83
3.4	3.93
3.5	4.23
3.8	4.34
4	4.26
4.1	4.08
4	3.93
3.7	3.91
3.5	3.9
3.4	3.91
3.6	3.91
3.6	3.7
3.3	3.52
3.4	3.52
3.5	3.42
3.8	3.39
4.3	3.47
4.3	3.59
4.1	3.55
3.8	3.52
3.6	3.51
3.6	3.51
3.7	3.51
3.6	3.5
3.6	3.7
3.6	3.93
3.3	3.96
3.5	4.04
3.8	4.15
4.1	4.25
3.9	4.27
3.5	4.33
3.2	4.36
3.4	4.47
3.4	4.63
3.4	4.68
3.2	4.64
3.3	4.57
3.2	4.6
3.3	4.76
3.6	4.92
3.7	4.95
3.5	4.94
3.4	4.95
3.2	5.04
3.2	5.03
3.3	5.05
3.1	5.21
3	5.34
3	5.34
3	5.43
3.1	5.73
3.3	5.81
3.5	5.28
3.4	5.25
3.2	5.38
3.1	5.36
3.1	5.36
3.1	5.52
3.1	5.77
3	5.79
3	6.03
3	5.62
3.3	4.68
3.6	3.22
3.9	2.7
4	2.45
3.8	2.42
3.8	2.41
3.8	2.41
3.7	2.41
3.7	2.48
3.3	2.64
3.2	2.79
3.3	2.79
3.5	2.82
5	2.88
4.8	2.88
4.1	2.83
3.7	2.51
3.2	2.45
3.5	2.45
3.7	2.58
3.3	2.63
3.4	2.66
3.3	2.66
3	2.73
3.5	2.8
3.8	2.93
4.5	3.13
4.3	3.35
3.7	3.4
3.2	3.46
3.3	3.53
3.3	3.59
3	3.59
3	3.58
2.9	3.58
2.9	3.56
3	3.55
3.5	3.55
4.2	3.53
3.7	3.54
3.5	3.54
3.1	3.54
3.2	3.54
3.1	3.34
3	3.19
2.9	3.14
2.8	2.93
2.8	2.85
2.9	2.88
3.4	2.86
3.9	2.83
3.5	2.81
3.2	2.8
3	2.72
3.1	2.69
3.1	2.68
3	2.66
2.7	2.66
2.7	2.66
2.6	2.65
3	2.65
3.4	2.65
4.5	2.65
3.9	2.65
3.8	2.65
3.5	2.65
3.5	2.65
3.4	2.65
3.3	2.52
3.1	2.35
3.2	2.21
3	2.14
3.3	2.13
3.7	2.13
4.5	2.12
4	1.95
3.9	1.81
3.7	1.8
3.8	1.7
3.6	1.65
3.4	1.64
3.2	1.6
3.1	1.58
3	1.59
3.2	1.67
3.7	1.67
4.9	1.64
4.2	1.63
3.9	1.61
3.6	1.58
3.6	1.43
3.5	1.36
3.6	1.35
3.5	1.34
3.3	1.35
3.1	1.42
3.2	1.54
3.7	1.5
4.9	1.49
4.1	1.48
4.2	1.43
3.6	1.39
3.8	1.38
3.4	1.39
3.6	1.39
3.3	1.38
3.2	1.38
3.1	1.45
3.3	1.66
3.7	1.66
4.6	1.65
