unemployment, Government_Exapenditure, interest_rate
6, 27549.1, 7.16
5, 27668.3, 7.12
5.5, 27522.3, 7.14
4.2, 27312.6, 7.12
4, 27426.7, 7.08
4, 27823.8, 6.97
5.2, 28462.7, 5.95
3.8, 28678.3, 5.78
3.5, 29751.1, 4.97
3.5, 30041.3, 4.58
4, 30651.4, 4.66
3.2, 30847.4, 4.82
3, 30571.9, 4.84
2.9, 31419.2, 4.91
3.8, 31681.3, 4.67
3.4, 31753.5, 4.43
3.5, 32042, 3.96
3.6, 32656.8, 4.17
4, 32906.8, 4.09
3.5, 33417.5, 3.91
3.5, 33681.9, 3.71
3.6, 33930.2, 3.44
4.2, 34280.9, 3.54
3.7, 34656.8, 3.51
3.6, 35360.3, 3.57
3.5, 35705.4, 3.98
3.9, 36689.7, 4.22
3.4, 37264.8, 4.39
3.3, 37856.6, 4.65
3.3, 38516.6, 4.64
3.6, 39039, 4.94
3.2, 39606.3, 5.01
3.1, 40009.2, 5.2
3, 40786, 5.5
3.4, 40882.5, 5.45
3.1, 41426.7, 5.37
3.1, 42113.7, 5.69
3.1, 43120.2, 5.44
3.8, 43859.4, 2.79
3.8, 44142.3, 2.41
3.6, 44247.8, 2.51
3.3, 44073.9, 2.8
4.6, 45562, 2.86
3.5, 45832.5, 2.47
3.5, 45693.2, 2.62
3.3, 46020.8, 2.73
4.2, 46279.1, 3.14
3.4, 46697.9, 3.46
3.1, 47150.7, 3.59
2.9, 47030.5, 3.56
3.8, 48342, 3.54
3.2, 48287.3, 3.54
3, 48393.1, 3.22
2.8, 48451.1, 2.89
3.6, 49052.4, 2.83
3.1, 49992.8, 2.74
2.9, 50263.8, 2.67
2.8, 50474.4, 2.65
3.9, 50633.1, 2.65
3.6, 51068.5, 2.65
3.3, 51981.1, 2.51
3.2, 52186.5, 2.16
4.1, 52148.7, 2.07
3.8, 52697, 1.77
3.4, 53232.9, 1.63
3.1, 53942.9, 1.61
4.3, 54709.5, 1.65
3.7, 55028.8, 1.54
3.5, 55549.9, 1.35
3.2, 55890.8, 1.44
4.3, 56167.8, 1.49
3.8, 56774.5, 1.4
3.4, 58106.6, 1.39
